Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,NK_Exhausted_TaNK,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
40386f32-719d-480f-9ba7-57e1eea23b30,0,0.00172934878188762,0.0225748357162673,0.810017544753126,0.0356148248003433,0.0936776503873769,0.0607995052416812,0.298689257077531,0.32538439582438,0,0.0130872150141302,0.119245971296414,0,0,0.0160972058471726,0.0669369278070497,0.110121738792183,0.0185649110636466,0,0,0.387633126883438,0.926603793680425,1.99254133240319
56afb18f-7fdd-4672-be59-4d3a03b806de,0.043231847253389,0.0145588565278944,0.328389566125548,0.434086954395249,0.0110502892276339,0.0585107530800145,0.23365680741321,0,0.721002785317355,0,0.00116156318468083,0.209057872131158,0,0,0.0555222353306002,0.0956655190288815,0.150401149930811,0.15013666434733,0,0,0.822217037860269,0.641618514422685,2.50643286329376
d0966b4b-6c70-41f6-a220-4bf8be955366,0,0.0912362012732431,0.300556449721489,0.773466708374394,0,0.0303368373192535,0.559030352545042,0,0.570342492505873,0,0.0370795962698502,0.259857295612849,0,0,0.0177295788079804,0.0585366404043924,0.165767129532309,0,0.0709673969078551,0,0.788157234118639,0.662947188068958,2.93490667927453
4a967e6f-d39a-4fe5-864b-a43e8184a852,0,0.0186278331550181,0.0580218190766126,0.396353343159634,0.012965781363112,0.0332138772387259,0.193539595728294,0,0.177718694093908,0,0.0281494131201696,0.101275718358849,0,0,0.0139880337929882,0.109986415251975,0.0524000313979313,0,0.0445542559248315,0,0.633793977217703,0.787668484688002,1.24079481166205
819e9776-131f-4c00-b93c-9936cbcc55b8,0.00115645196706342,0.0135999226668852,0.147578739579215,0.976959330956665,0,0.189364496232468,0.249191978783798,0.0204469007573405,0.387413467817477,0,0,0.145487834154611,0,0,0.0343075013004436,0,0.173460896591292,0.0244373478102127,0,0,0.765045464692075,0.704383664029742,2.36340486861747
8dc8ccd2-a842-4a48-a8db-007855733fc0,0.0180498205714295,0.0225754579898069,0.313885115218173,1.05126641865556,0.054567037254175,0.0809745928803625,0.0754256468218951,0,0.366401872819099,0,0.0141565301371872,0.158526180811315,0,0.0349862432120083,0.010790691142277,0.0165589734286124,0.0462948655577434,0.0865087643678265,0,0,0.719302743382999,0.727628768781522,2.35096821086747
facd5609-e5f0-4993-bd84-049447d60d32,0.105139788806329,0.0249685352282827,0.153507602076218,0.32623487243622,0,0.131177213148679,0.966033542673921,0.00494826785510026,0.0569782857795329,0,0.0401096012068244,0.199867396349825,0,0,0.0337889874451727,0.0870529628487275,0.250174643556446,0,0.114107945765334,0,0.875239479189124,0.54863162748543,2.49408964517661
27e24fc6-af40-4152-8424-a9d365c717d9,0.00233534126993951,0.0493731410139876,0.515314241299208,0.800157100032907,0.081596173256652,0,0.233754083414195,0.0478394487585521,0.207101875649399,0,0,0.103062060987036,0.0145842382672258,0,0,0.0577270506932776,0.172225289626219,0,0.138044231553261,0,0.681696225391269,0.745043508891962,2.42311427582186
e62d96e9-3e79-4eef-9e5e-568a48dd737b,0,0.0598749919033225,0.230927224035165,0.700196411703387,0,0.10609748545428,0.105991127175263,0,1.13817501528256,0,0,0.204335848010194,0,0.0329873539166866,0.0263401805925451,0.00878465691117632,0.249666036390276,0.0354779622726037,0,0,0.81189203422816,0.659994542136932,2.89885429364746
32248a54-89ad-43a3-aa20-1c1897cb0054,0.00677686295607362,0.11419858123432,0.211347727026965,0.498258560327738,0.0916477757619276,0.00923159097801683,0.52227699792149,0,0.143386767183048,0,0.00360329833388052,0.212764933986549,0,0,0,0.111669144943594,0.0376062825272066,0,0.0965036147701281,0,0.792281340877035,0.652408027889638,2.05927213795094
