names,scores,logfoldchanges,pvals,pvals_adj
UQCRC1,10.051205,0.61241853,9.075146109207099e-24,8.10933420208817e-22
TPM3,10.048009,0.45065746,9.374229992073983e-24,8.321479294937779e-22
NDUFAB1,10.026556,0.49562913,1.16509867346773e-23,1.0274951896143844e-21
PPP4C,10.025705,0.4519583,1.1751716782989736e-23,1.0296487957979254e-21
ILF2,10.015417,0.47182536,1.3041066961651609e-23,1.135245912990743e-21
SERPINB1,9.999611,0.42816785,1.5299657462658776e-23,1.3233222957926594e-21
DBI,9.996005,0.43660006,1.586694847663279e-23,1.3636479986955812e-21
PSMB6,9.962928,0.42911643,2.2144301191331646e-23,1.8792016099033833e-21
UCP2,9.933378,0.4299527,2.9798622072042607e-23,2.4973466311681424e-21
SF1,9.921662,0.40828624,3.3512663116305526e-23,2.7912738483229044e-21
CLTA,9.920617,0.4480269,3.386564000528279e-23,2.8033685925845438e-21
CCT6A,9.912788,0.48409274,3.662766492829163e-23,3.013518798033164e-21
NCL,9.906158,0.452024,3.914069249178711e-23,3.2007597805556573e-21
POLR2E,9.900073,0.48524648,4.1596916961261834e-23,3.3811277142066623e-21
NFATC2,9.884074,0.4985178,4.8807001901327055e-23,3.919957599134559e-21
TALDO1,9.8762245,0.5345165,5.27844698273458e-23,4.214324564380928e-21
SRSF9,9.869225,0.42863646,5.66003557235788e-23,4.4924035281073456e-21
TUFM,9.864371,0.43461075,5.94055268246031e-23,4.687478207277016e-21
PPP2R1A,9.862831,0.4772668,6.03238202871967e-23,4.732263413576425e-21
PNPLA2,9.8622265,0.56988776,6.068818635789359e-23,4.733327737150626e-21
VASP,9.859594,0.4384272,6.230056209207044e-23,4.831157955794865e-21
XRCC5,9.840356,0.41284138,7.544337934351272e-23,5.7838495311478244e-21
TBX21,9.827865,0.48771685,8.541032228663487e-23,6.510968805726353e-21
ZAP70,9.815099,0.41314536,9.694345672427082e-23,7.348640795396551e-21
NDUFV1,9.805975,0.47851795,1.0611744879610125e-22,7.999121433551922e-21
RPN2,9.778863,0.46469545,1.387609839217737e-22,1.040167753364718e-20
RASSF5,9.76914,0.4180318,1.527427487528741e-22,1.1386507784102377e-20
PRELID1,9.752872,0.41835582,1.793213306379583e-22,1.3221763466109132e-20
CD38,9.743297,0.50572866,1.9705621298644339e-22,1.445043196644609e-20
CCT2,9.742717,0.48160967,1.9818385632775996e-22,1.445456634286738e-20
SF3A2,9.717595,0.6581872,2.537025126340457e-22,1.8404344101995584e-20
AP2M1,9.694094,0.40163997,3.1946016615493357e-22,2.305067391405625e-20
ACADVL,9.692461,0.5082853,3.2460932771672575e-22,2.3297625845115854e-20
SPCS3,9.675798,0.4632019,3.820986423957171e-22,2.7278608369552436e-20
IGFBP7,9.673155,0.45410374,3.9209963941195846e-22,2.784526544518714e-20
BZW1,9.6568365,0.41246963,4.598436490879279e-22,3.248518511593409e-20
RAB11B,9.647663,0.50072765,5.028879374856461e-22,3.5340973648405325e-20
TUBB,9.646284,0.44124627,5.0969272784330715e-22,3.563359573466188e-20
ABRACL,9.640995,0.41050673,5.366533074306312e-22,3.7325067408049005e-20
YWHAE,9.639524,0.4814227,5.443981109791459e-22,3.766955749457238e-20
AURKAIP1,9.622258,0.42541078,6.440180781144264e-22,4.4335387387744667e-20
EIF4B,9.6202,0.39515966,6.570327926661845e-22,4.500174350987222e-20
CNN2,9.619298,0.50115246,6.6282179211526295e-22,4.516896182328911e-20
APH1A,9.614508,0.49471825,6.944100011161493e-22,4.708378967366936e-20
TBCB,9.564474,0.407413,1.1277363995612657e-21,7.608273619640078e-20
CAST,9.561367,0.4067524,1.162111338461877e-21,7.80117825366473e-20
GRB2,9.550732,0.46284592,1.287840271241567e-21,8.602390485080427e-20
RNH1,9.549339,0.47908306,1.3052553166043709e-21,8.675768466474274e-20
MDH2,9.548219,0.41946945,1.31945281128096e-21,8.727145481673526e-20
C1QBP,9.545424,0.49717852,1.3555137629153518e-21,8.921925464886265e-20
MAP3K8,9.535604,0.41369244,1.4901626281965235e-21,9.76056521468723e-20
MAPK1IP1L,9.529743,0.47856057,1.5767238008517891e-21,1.0228237617737112e-19
GHITM,9.529062,0.40335816,1.587105877456686e-21,1.024632516962826e-19
UBE2J1,9.508323,0.5431278,1.9376173924772385e-21,1.2449653084140657e-19
ERP29,9.5076,0.39304292,1.9511281862529227e-21,1.2477048633701746e-19
SRSF10,9.500614,0.41419894,2.0865528249315273e-21,1.3280121352264668e-19
CLTB,9.499422,0.5004248,2.1105783289161846e-21,1.336996872866952e-19
ARF1,9.478198,0.41929603,2.587111456766202e-21,1.6312100414087084e-19
NDUFS5,9.473413,0.40872172,2.7084479660466726e-21,1.699771553761291e-19
LYN,9.472254,0.48303977,2.7386853229774016e-21,1.7107907899506517e-19
TMED2,9.471478,0.39184725,2.75910638665424e-21,1.7156047223560211e-19
PDIA6,9.461209,0.4195259,3.044027655680139e-21,1.8840855577106475e-19
SURF4,9.433342,0.52674204,3.9722658799475845e-21,2.4473873752572035e-19
WDR83OS,9.430961,0.39150843,4.0634945880634944e-21,2.492215112579124e-19
EIF3F,9.4294615,0.41718468,4.1220100484964815e-21,2.5166643250843e-19
RBX1,9.425279,0.40022603,4.289656520997241e-21,2.607222317018729e-19
LCP2,9.417103,0.42638886,4.63705542850331e-21,2.805730443802474e-19
OSTF1,9.41614,0.39863,4.679773591284103e-21,2.8189368333569825e-19
RHOG,9.393399,0.39473563,5.8094418777721326e-21,3.4838577447457506e-19
TBRG1,9.391516,0.4914661,5.914270727207432e-21,3.531028978858845e-19
UQCRH,9.376052,0.40885612,6.848924588717028e-21,4.0710369813021526e-19
SEC13,9.3584795,0.62787986,8.089263799983595e-21,4.786065279743221e-19
PPM1G,9.358042,0.46221346,8.122796628334673e-21,4.786065279743221e-19
