names,scores,logfoldchanges,pvals,pvals_adj
DDX46,4.4576445,10.775768,8.286522638068511e-06,0.0009613558297738614
TPST2,4.4575424,15.239936,8.290466649475469e-06,0.0009613558297738614
MOB1A,4.452117,11.492444,8.502782881144887e-06,0.0009708596742600608
GSTK1,4.4487243,15.98424,8.63817963724931e-06,0.0009708596742600608
SF3B5,4.448487,12.15386,8.647734531875045e-06,0.0009708596742600608
ATP6V0E1,4.444265,22.302355,8.819294633490999e-06,0.0009838537165184327
CDC42EP3,4.441494,7.8197217,8.933643327902295e-06,0.0009903421213685903
C19orf53,4.439077,10.97549,9.034554758128939e-06,0.0009952691385423794
SDHAF2,4.426796,10.680838,9.5643161969908e-06,0.0010406212178281473
PPM1G,4.4200397,12.459189,9.868279008141797e-06,0.0010660824643883274
PRR13,4.4160733,17.975857,1.005099046383119e-05,0.0010736894419120517
SERPINB1,4.414564,17.439304,1.0121370539699904e-05,0.0010746944405587379
C12orf57,4.410088,11.930558,1.0332869292014205e-05,0.001090581761323607
GPR65,4.406003,12.615672,1.052955151836774e-05,0.001104725446802082
EMC6,4.394451,10.992405,1.1105295877794158e-05,0.0011582363617869814
UBE2F,4.3912582,8.607374,1.1269660437451132e-05,0.0011652137705843494
MIEN1,4.3905888,10.07343,1.1304411367861327e-05,0.0011652137705843494
LSM4,4.388109,7.1616473,1.1434033951752342e-05,0.0011717225722882951
VDAC3,4.3774214,9.1146145,1.2009174973053722e-05,0.001223547503323959
GTF3C6,4.36885,7.1610675,1.2490229922628036e-05,0.0012609119453758995
NCR3,4.368348,13.125217,1.2518982777759129e-05,0.0012609119453758995
PSMB8,4.3616376,18.108114,1.2909253969120832e-05,0.0012928324457938851
TMOD3,4.354203,14.854883,1.3355174993289751e-05,0.0013259125352526944
UBL5,4.3536325,24.836082,1.3390016525302372e-05,0.0013259125352526944
FAM107B,4.34947,10.962148,1.3646687336821334e-05,0.0013426634454938486
SSR4,4.3484306,29.052399,1.3711529569323314e-05,0.0013426634454938486
PSMB10,4.3416443,23.847626,1.4142034412533042e-05,0.001369601640413777
BSG,4.3397346,16.29576,1.4265483717486915e-05,0.0013740077377290948
NDUFV1,4.3297153,10.151406,1.4930233400180784e-05,0.0014302189886499267
NDUFB1,4.3271008,4.7350354,1.5108470490503807e-05,0.0014394697344087574
ANP32A,4.323973,11.863589,1.5324397582011822e-05,0.0014521926439813998
ATP5PB,4.3178782,14.240693,1.5753620276475778e-05,0.0014753528132257286
TBC1D10C,4.3169513,13.631747,1.5819907052063016e-05,0.0014753528132257286
CCT6A,4.3082266,7.37646,1.6456881261029977e-05,0.0015266788900363912
IFI27L2,4.302758,11.549194,1.686850521715968e-05,0.001556671586165741
TUFM,4.2990046,11.404207,1.7156678964500697e-05,0.0015668581524781828
PRRC2C,4.2876234,8.172634,1.8059477519155234e-05,0.0016228697681015057
IL16,4.286656,12.092253,1.813828119346401e-05,0.0016228697681015057
FAM32A,4.282706,10.525025,1.8463427150768237e-05,0.0016436180149466714
PPP1CA,4.2742143,23.772377,1.9181267647914128e-05,0.001690445117810672
GIMAP7,4.270773,33.513172,1.9479654038416553e-05,0.0016997444657481692
PSMD13,4.268926,10.194311,1.9641648980770667e-05,0.001705436970123467
TSEN54,4.2657437,10.6912775,1.9923756575626315e-05,0.0017148979506590124
PRDX6,4.2627907,9.811873,2.0188960661065617e-05,0.0017274301971453522
MESD,4.257734,10.611752,2.0650958181878256e-05,0.0017573087467573133
FCRL6,4.256798,13.167354,2.0737559249150185e-05,0.0017573087467573133
RPN2,4.2542214,13.215428,2.0977745980560184e-05,0.0017629757733671142
ZAP70,4.253937,12.336249,2.10044770456765e-05,0.0017629757733671142
ARPC5,4.2506847,19.03779,2.1311796815736988e-05,0.0017802925624368726
PSMB3,4.2444406,11.088688,2.1913955064921207e-05,0.0018180129643177703
SMDT1,4.243871,7.193203,2.196963357538211e-05,0.0018180129643177703
GPAA1,4.241997,8.588131,2.2153973502077378e-05,0.0018247006399421304
NDUFA2,4.237912,11.836115,2.2560810872000924e-05,0.0018495667554878526
CSNK2B,4.232557,12.970267,2.310492918366285e-05,0.0018854050082927844
ICAM2,4.2304726,13.539159,2.3320107554728497e-05,0.0018941945426711728
XRCC6,4.225924,13.621291,2.3796233979335006e-05,0.0019155682217044075
PARK7,4.2258825,15.831396,2.3800603685082564e-05,0.0019155682217044075
BUD31,4.223214,8.815024,2.408430316779915e-05,0.0019241995747312226
SEC61B,4.2228227,15.39283,2.412618325289914e-05,0.0019241995747312226
NDUFA3,4.2162104,12.263202,2.484418400839479e-05,0.001972538681675525
RER1,4.21121,9.650328,2.540064895354333e-05,0.0020076764056284964
SAP18,4.2003126,12.918867,2.665466956377739e-05,0.0020973893112997337
OPTN,4.194019,9.301289,2.7405493335192355e-05,0.0021458854057096167
ABRACL,4.193119,8.783444,2.7514473033607928e-05,0.0021458854057096167
CCT4,4.188464,10.169709,2.8084837676021627e-05,0.0021807195985795473
MRPL28,4.1812043,11.289398,2.8996936132209675e-05,0.002231877712953396
MRPL57,4.1782866,9.727696,2.9371350731824545e-05,0.0022411230649313396
ALOX5AP,4.177162,16.395342,2.951683080126829e-05,0.002242515774582564
GNG2,4.1744127,12.560178,2.9875568389448807e-05,0.0022600290490662
ROCK1,4.1728663,5.051994,3.0079131772720795e-05,0.0022657041736152852
SERBP1,4.1698995,11.477176,3.0473396791111698e-05,0.0022856344333622757
PGLS,4.1645207,8.590944,3.120072439798873e-05,0.002330271051859955
COPE,4.155942,15.670168,3.239499993730372e-05,0.002392022359781939
PTGDR,4.155662,12.776755,3.243466152206306e-05,0.002392022359781939
S100A11,4.1524515,19.34801,3.289321272552322e-05,0.002415732364583635
LBH,4.1454887,10.259911,3.390895430047112e-05,0.002479996798755618
PSMA5,4.143239,8.652398,3.424350421183949e-05,0.0024941157241234824
XCL2,4.1395807,15.270804,3.479414314659587e-05,0.002521836577037506
LAPTM5,4.1388164,26.931534,3.4910253307452145e-05,0.002521836577037506
NDUFB2,4.137015,15.084456,3.5185351032838013e-05,0.0025313346828767466
SMARCA5,4.1340814,11.887598,3.563773552211626e-05,0.002553458237043989
SIGIRR,4.13266,8.855475,3.585892327697057e-05,0.0025589043792707826
NUTF2,4.1305604,8.775967,3.6188026758676946e-05,0.002567593810035072
TUBA1B,4.1300273,15.248893,3.6272033285982804e-05,0.002567593810035072
DSTN,4.127148,12.110424,3.6728961780881416e-05,0.0025792218340630114
STOML2,4.124653,10.107139,3.7129438784241115e-05,0.0025969979682977534
KLRG1,4.1172624,16.776144,3.83399438414083e-05,0.0026677961836179087
SASH3,4.103604,7.9100776,4.067635317251262e-05,0.002800630472729326
AUP1,4.101697,10.266626,4.10131128904294e-05,0.0028128292910766873
OSTC,4.096234,7.076222,4.199258679915163e-05,0.0028688423834180104
TSPO,4.0931983,12.059974,4.2546358804190056e-05,0.0028954522018635287
CIB1,4.090826,10.811459,4.298395419657051e-05,0.0029139814487259687
KIF2A,4.0850987,11.400025,4.4058043765988776e-05,0.0029753527947100314
RAB7A,4.0829983,8.578034,4.4458324034419875e-05,0.0029909252650026134
